Fecha,Índice general,"1. Alimentos, bebidas y tabaco","1. Alimentos, bebidas y tabaco, 1.1. Alimentos",1.1.6. Frutas y hortalizas,046 Aguacate,047 Durazno,048 Guayaba,049 Limón,050 Manzana,051 Melón,052 Naranja,055 Papaya,056 Pera,057 Piña,058 Plátanos,059 Sandía,060 Uva,061 Calabacita,062 Cebolla,063 Chayote,064 Chile poblano,066 Chile serrano,068 Ejotes,071 Jitomate,072 Lechuga y col,073 Nopales,077 Papa y otros tubérculos,079 Pepino,080 Tomate verde,082 Zanahoria,065 Chile seco,069 Frijol
Ene 2000,45.88037919,36.51005457,36.32910317,42.57397325,19.5089247,52.52835602,42.13977025,79.33596473,0,54.54251262,16.777516,40.3440498,29.7402781,30.35400734,38.75640751,63.58174727,49.0883942,65.45221333,47.13477194,64.08784225,56.78215679,53.19910326,46.34499371,31.21712813,60.97333607,61.77863169,46.35727651,59.93846871,55.46138172,54.3512374,42.0190918,41.11578482
Feb-00,46.28394771,36.65990258,36.42249698,41.74205254,18.28892202,56.04426702,37.3398997,79.74438554,0,56.1564649,16.17536929,42.61655858,29.7402781,25.29331787,38.20219826,62.67674653,54.94658855,68.81440458,44.11449471,66.3646819,60.0341882,58.32225363,42.69503858,27.02999003,65.0176336,63.43763607,46.97496194,59.43367318,48.04033858,56.6754424,39.96904527,40.32370103
Mar-00,46.55631922,36.73679984,36.49750238,41.12101042,18.16295175,54.48293811,39.56857037,68.57786361,43.0160699,62.59800637,16.33797213,34.29194891,30.30712407,24.83417605,37.75503376,59.24939928,52.10308895,65.27814157,41.18287138,66.69973665,59.92822711,55.74086141,40.8350277,27.09417757,65.92891611,70.14041433,48.25778801,60.49353506,44.76283861,56.77609695,39.54859526,40.30728264
Abr 2000,46.65296719,36.90243391,36.63166524,41.82477461,18.05056445,46.58174678,44.28689814,49.51381991,40.46843906,58.2589402,17.30545903,37.73698882,29.23644841,25.6856051,36.01537667,56.99297982,51.56335732,62.69312667,38.88279517,60.91418832,56.34473524,54.00356784,39.0247791,35.73294163,60.23876277,52.36466464,47.87661067,60.39264554,56.63238767,44.27275023,39.96789089,40.30728264
May-00,46.91923305,36.97048141,36.68247535,41.15532127,17.1476901,40.64759004,49.81991012,37.19659093,38.93117813,54.57390137,18.64525482,40.25120357,26.41504223,24.71280644,35.00554908,55.43787228,47.93526515,55.75902213,38.72183013,55.31702846,60.26352459,52.40517207,43.2775402,38.54558703,58.10528074,42.54170022,39.22886101,61.55322301,67.77563272,41.65295914,38.41961386,40.02968769
Jun-00,47.17969111,37.17522186,36.92684775,41.34630269,17.06173453,40.33381766,55.99113685,35.66761194,39.53908678,52.641496,19.1239008,45.16635512,26.9408124,22.52483821,35.62325242,53.9229367,45.13036227,60.36848183,40.60818814,54.12305001,64.03591645,54.81927993,36.7410399,40.10226685,54.86529665,45.60865346,38.18592173,61.50277824,67.607436,47.36586725,36.39637455,39.66268842
Jul-00,47.41796034,37.19806382,36.94402641,41.62313958,16.64375657,41.40058226,59.93518002,35.00552468,40.7889149,49.57110589,18.48987877,43.76282034,26.77180053,21.76715292,35.04127452,52.70448151,41.79423566,69.40718287,40.95832628,58.60073532,64.03326005,57.17893557,34.57779532,42.20111159,53.25781021,49.54191515,39.22256437,57.75160121,61.44170953,55.6863659,36.64790062,39.2231171
Ago 2000,47.80246732,37.21313233,36.92975119,41.76821653,18.31556353,42.073325,60.69236295,38.83918516,42.628955,50.93451889,18.77494995,47.25331042,22.94533977,24.10466914,34.55565569,51.96101733,36.16782916,67.94183297,42.99154529,67.63082272,57.75263049,54.74340389,35.50247503,43.82233067,54.2074721,55.74012277,39.57855513,50.98956756,49.83677299,55.62702685,37.96902177,39.26906099
Sep-00,48.25771048,37.60216311,37.29558393,40.32418391,19.50609273,48.14138461,55.0902007,38.28685171,41.46318611,55.49273559,20.21914708,50.44218925,22.17181243,30.96085543,34.87629303,56.50865308,37.60524591,57.32861839,43.51406602,58.33954588,55.46900669,52.65743759,38.99232544,39.17427324,52.00942645,54.92915547,32.39377699,52.70538533,46.21183636,49.88028995,37.28255183,38.33100531
Oct-00,48.71682551,37.74495523,37.38184013,40.20762101,22.16536606,51.5938032,46.91039446,40.79648619,39.80965245,58.8499047,20.11268094,49.41990778,27.70702625,35.0122801,34.70672689,57.89656605,39.33338316,51.94001543,56.35656867,49.12234721,63.77913053,58.12801096,40.50499892,37.48341508,50.36635705,53.09587042,31.12615501,53.54085499,45.61911281,51.34934723,36.51309496,37.08955436
