Aguascalientes				
Bagre				
2011	9.85	9.85	30.64	302
2012	12.68	12.68	25.85	328
2013	2.18	2.18	30.00	65
2014	5.98	5.98	30.45	182
2015	10.85	10.85	15.34	166
2016	8.33	8.33	29.15	243
2017	5.68	5.68	24.52	139
2018	5.58	5.58	23.48	131
Carpa				
2011	11.04	11.04	22.24	245
2012	25.53	25.47	24.30	619
2013	15.23	15.10	20.92	316
2014	16.70	16.70	16.95	283
2015	42.40	42.40	6.23	264
2016	38.35	38.35	5.80	223
2017	27.43	27.43	6.68	183
2018	14.46	14.46	10.41	151
Lobina				
2011	3.08	3.08	32.02	98
2012	4.08	4.08	29.82	122
2013	6.29	6.29	28.48	179
2014	9.96	9.96	29.65	295
2015	23.39	23.39	29.54	691
2016	19.99	19.99	30.00	600
2017	21.57	21.57	30.00	647
2018	14.18	14.18	29.99	425
Mojarra				
2011	35.31	35.31	24.70	872
2012	36.37	36.30	26.73	970
2013	230.38	230.38	28.63	6,596
2014	165.48	157.71	19.69	3,105
2015	246.70	238.07	19.09	4,546
2016	173.98	173.98	16.33	2,841
2017	125.64	123.34	22.65	2,794
2018	119.18	117.48	22.16	2,604
Otras especies				
2014	0.30	0.30	21.53	6
TOTAL	1,488.12	1,467.46	0.00	31,233
				
Baja California				
Abulón				
2011	137.95	120.21	283.62	34,095
2012	189.87	166.05	329.41	54,699
2013	165.69	148.95	303.89	45,264
2014	128.07	99.03	298.60	29,570
2015	108.52	80.16	310.92	24,923
2016	102.09	84.91	366.71	31,137
2017	110.53	91.92	372.46	34,237
2018	166.08	359.11	208.86	75,005
Alga				
2011	3,047.95	817.29	7.68	6,279
2012	3,428.88	894.35	6.52	5,829
2013	4,998.92	2,354.34	5.81	13,683
2014	4,021.23	1,094.71	6.73	7,371
2015	4,503.99	1,320.52	6.68	8,816
2016	7,166.58	2,850.02	7.11	20,268
2017	5,300.63	1,907.48	7.16	13,664
2018	5,604.06	2,005.06	8.57	17,191
Almeja				
2011	1,535.28	1,521.95	23.68	36,047
2012	1,724.41	1,708.41	31.32	53,505
2013	2,908.48	2,485.31	26.83	66,677
2014	3,294.94	3,210.94	13.72	44,064
2015	1,542.49	1,542.49	17.00	26,217
2016	1,964.40	1,919.87	41.79	80,230
2017	1,200.25	1,201.17	58.32	70,054
2018	1,875.29	1,863.32	19.14	35,671
Anchoveta				
2011	2,042.13	1,760.45	0.51	906
2012	2,098.68	1,809.20	0.97	1,761
2013	2,715.73	2,427.59	0.93	2,248
2014	617.21	538.83	1.09	585
2015	29,233.91	26,142.60	1.03	27,029
2016	5,589.69	5,008.04	1.56	7,790
2017	17,574.47	15,725.14	1.57	24,703
2018	48,840.70	42,171.39	1.60	67,474
Atún				
2011	6,653.58	6,408.07	53.17	340,694
2012	3,455.41	3,359.64	52.34	175,851
2013	8,820.18	8,658.01	68.26	591,039
2014	15,135.34	14,430.86	55.23	797,070
2015	11,295.00	10,689.83	73.98	790,803
2016	12,175.77	11,496.98	78.29	900,139
2017	10,025.55	9,571.62	59.23	566,893
2018	13,951.71	13,100.30	59.23	775,883
Bagre				
2011	0.04	0.04	30.00	1
2013	5.14	5.14	19.50	100
2014	7.52	7.50	12.85	96
2015	9.16	9.16	11.75	108
2016	1.36	1.35	12.44	17
2017	0.43	0.41	12.85	5
2018	7.89	7.88	28.86	227
Bandera				
2015	0.14	0.14	8.97	1
2016	1.80	1.80	9.53	17
Baqueta				
2011	64.20	63.76	36.54	2,330
2012	47.11	46.56	31.68	1,475
2013	51.44	50.71	43.05	2,183
2014	66.79	66.08	32.17	2,126
2015	110.74	108.03	40.20	4,343
2016	47.92	46.65	37.94	1,770
2017	106.71	104.42	39.20	4,094
2018	133.98	129.20	56.29	7,273
Barrilete				
2011	2.00	2.00	10.00	20
2012	48.75	48.75	17.86	871
2013	44.12	44.12	17.39	767
2014	90.29	90.29	7.48	676
2015	5.89	5.89	7.19	42
2016	543.21	543.21	8.69	4,721
2017	478.64	478.64	9.90	4,737
2018	530.30	530.30	13.48	7,149
Berrugata				
2011	3,485.27	3,485.20	10.03	34,956
2012	3,510.73	3,510.47	15.24	53,486
2013	2,550.82	2,550.76	14.29	36,439
2014	3,256.13	3,254.48	10.23	33,302
2015	2,696.29	2,696.15	10.73	28,937
2016	641.52	640.41	9.99	6,399
2017	913.34	912.87	10.58	9,659
2018	1,350.37	1,348.38	17.04	22,977
Bonito				
2011	123.97	123.97	12.72	1,577
2012	271.82	271.79	9.99	2,716
2013	38.18	38.17	5.05	193
2014	24.65	24.64	7.08	174
2015	14.70	14.66	6.35	93
2016	48.43	48.38	7.44	360
2017	91.55	90.69	6.77	614
2018	119.80	119.65	18.60	2,225
Cabrilla				
2011	385.42	367.63	7.29	2,680
2012	318.53	306.82	8.24	2,529
2013	343.15	334.79	9.34	3,126
2014	249.17	242.22	7.60	1,841
2015	266.12	259.43	7.31	1,895
2016	564.14	555.64	7.30	4,058
2017	541.30	531.08	18.63	9,893
2018	401.59	394.27	11.87	4,679
Calamar				
2011	15,098.01	15,090.59	4.48	67,648
2012	4,891.04	4,801.55	4.70	22,553
2013	16,719.82	16,706.62	5.62	93,935
2014	3,061.10	2,977.71	3.98	11,853
2015	64.38	62.64	6.25	391
2016	295.28	293.53	4.97	1,458
2017	55.57	55.45	8.07	447
2018	30.13	30.10	10.19	307
Camarón				
2011	1,099.74	761.58	91.16	69,428
2012	957.10	623.29	126.05	78,567
2013	907.74	675.26	101.35	68,441
2014	1,195.25	867.52	66.15	57,383
2015	525.89	452.75	58.32	26,404
2016	275.91	250.22	68.59	17,163
2017	241.65	209.38	86.14	18,036
2018	306.80	263.25	71.52	18,829
Caracol				
2011	476.08	136.78	19.13	2,617
2012	568.97	234.01	15.11	3,537
2013	832.08	308.29	16.71	5,151
2014	161.81	87.25	19.59	1,709
2015	197.20	147.63	16.23	2,396
2016	146.70	114.95	16.70	1,920
2017	318.61	205.05	16.32	3,347
2018	267.35	204.31	20.82	4,253
Carpa				
2011	8.17	8.15	8.50	69
2012	21.16	21.16	9.90	210
2013	21.21	21.21	10.02	212
2014	16.72	16.72	6.75	113
2015	16.21	16.21	8.81	143
2016	0.18	0.15	5.33	1
2017	196.85	177.03	16.66	2,949
2018	0.37	0.37	13.49	5
Cazón				
2011	83.21	77.37	14.40	1,114
2012	38.82	35.47	16.01	568
